OA_MAIS,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_OTVEHWGT,GV_SPLIMIT,OA_AGE,OA_HEIGHT,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,GV_MODELYR,GV_WGTCDTR,OA_BAGDEPLY,OA_MANUSE,OA_SEX,VE_GAD1
0,2050,,,,4,2420,25,34,163,64,163,286,315,4.6618,2004,Truck (<=6000 lbs.),Not Deployed,1,Female,Rear
0,1430,,,,2,1410,25,53,173,75,155,280,125,4.34,2004,Passenger Car,Not Deployed,1,Female,Front
0,1490,0,-11,59,2,1450,35,69,,,153,275,135,4.2075,2003,Passenger Car,Not Deployed,1,Female,Front
0,1460,-16,-19,478,5,1780,45,33,167,82,156,270,175,4.212,2002,Passenger Car,Deployed,1,Male,Right
0,1780,11,-18,404,6,1460,45,18,165,49,158,265,105,4.187,2008,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1570,7,4,101,3,1530,35,53,,,151,270,15,4.077,2004,Passenger Car,Not Deployed,1,Female,Left
0,1170,5,-2,37,2,1120,25,42,,,146,250,65,3.65,2008,Passenger Car,Not Deployed,1,Male,Left
0,2060,-8,-23,678,3,1500,55,50,182,93,168,326,155,5.4768,2006,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,1210,,,,3,2390,45,23,,82,153,260,315,3.978,2003,Passenger Car,Deployed,,Male,Rear
0,1670,,,,2,,55,27,163,52,150,285,135,4.275,2006,Passenger Car,Deployed,1,Female,Front
0,1860,-22,-12,557,2,2270,45,64,157,59,157,272,195,4.2704,2007,Truck (<=6000 lbs.),Not Deployed,1,Female,Right
0,1310,,,,2,1380,35,62,178,85,152,251,135,3.8152,2007,Passenger Car,Deployed,1,Male,Front
0,2440,,,,3,1230,55,43,188,100,174,365,145,6.351,2008,Truck (<=10000 lbs.),Not Deployed,0,Male,Front
0,1170,,,,4,1550,35,57,178,91,146,250,,3.65,2009,Passenger Car,Not Deployed,1,Male,
0,2600,8,-14,267,3,1750,45,51,183,104,169,330,105,5.577,2002,Truck (<=10000 lbs.),Not Deployed,0,Male,Front
0,1150,-18,-31,1186,3,1180,35,51,,,147,262,165,3.8514,2003,Passenger Car,Not Deployed,1,Female,Front
0,1200,8,-23,270,2,1240,25,33,,48,150,270,115,4.05,2008,Passenger Car,Deployed,0,Female,Front
0,1050,-16,-19,262,2,1150,25,31,168,57,147,255,175,3.7485,2009,Passenger Car,Deployed,1,Female,Front
0,1150,20,-12,440,2,1050,25,56,165,68,147,253,75,3.7191,2004,Passenger Car,Deployed,,Female,Left
0,1310,,,,3,1200,40,52,178,84,153,265,135,4.0545,2009,Passenger Car,Deployed,,Male,Front
0,1200,,,,3,1310,40,23,,,150,270,315,4.05,2009,Passenger Car,Not Deployed,,Female,Rear
0,1500,,,,3,1170,35,28,,,157,278,115,4.3646,2007,Passenger Car,Deployed,0,Male,Front
0,1540,,,,2,2420,25,28,160,73,153,285,105,4.3605,2009,Passenger Car,Deployed,0,Female,Front
0,1810,,,,4,1900,25,52,168,100,151,269,135,4.0619,2004,Truck (<=6000 lbs.),Not Deployed,,Female,Front
0,1900,,,,1,1810,25,41,178,73,162,290,205,4.698,2003,Passenger Car,Not Deployed,1,Male,Right
0,1590,,,,2,1570,35,20,,,157,274,,4.3018,2004,Passenger Car,Deployed,0,Male,Front
0,1570,,,,2,1590,25,28,185,98,155,273,215,4.2315,2007,Passenger Car,Deployed,1,Male,Right
0,2020,,,,2,1810,25,27,168,86,158,271,115,4.2818,2007,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1220,,,,2,1870,25,40,170,95,150,270,125,4.05,2007,Passenger Car,Deployed,1,Male,Front
0,1710,2,-13,496,4,1230,35,34,170,69,159,305,125,4.8495,2007,Passenger Car,Deployed,1,Female,Front
0,1230,-14,-12,61,4,1710,35,26,173,73,151,263,185,3.9713,2006,Passenger Car,Not Deployed,1,Male,Right
0,1460,17,6,263,2,1530,25,37,168,91,153,274,25,4.1922,2004,Passenger Car,Not Deployed,0,Female,Left
0,1170,-11,-7,113,6,930,25,56,155,77,145,250,195,3.625,2008,Passenger Car,Not Deployed,1,Female,Right
0,1960,,,,2,1620,35,51,,,149,320,155,4.768,2002,Truck (<=6000 lbs.),Not Deployed,1,Male,Right
1,1550,,,,4,1800,25,23,175,73,157,281,115,4.4117,2003,Passenger Car,Deployed,,Male,Left
0,1800,,,,5,1550,25,41,185,104,158,293,205,4.6294,2002,Passenger Car,Deployed,1,Male,Front
0,1490,0,-59,1665,2,1370,25,29,178,84,155,272,135,4.216,2007,Passenger Car,Deployed,0,Male,Front
0,1340,-8,-9,105,6,1260,25,23,173,64,147,270,175,3.969,2009,Passenger Car,Not Deployed,1,Female,Front
0,1810,,,,4,1160,,53,160,50,162,303,,4.9086,2004,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1270,,,,2,1490,30,17,,,152,269,65,4.0888,2007,Passenger Car,Not Deployed,,Female,Front
0,2560,,,,2,1740,25,33,163,82,172,295,135,5.074,2007,Truck (<=10000 lbs.),Deployed,,Male,Front
0,2480,0,-36,1254,2,2000,25,25,163,64,171,337,135,5.7627,2006,Truck (<=10000 lbs.),Not Deployed,1,Female,Front
0,2000,0,41,1493,2,2480,25,52,178,95,167,302,315,5.0434,2007,Truck (<=6000 lbs.),Not Deployed,1,Male,Rear
0,1580,,,,2,,,22,173,75,156,284,105,4.4304,2006,Passenger Car,Deployed,0,Male,Front
0,1410,,,,7,1120,35,34,168,70,154,280,,4.312,2003,Passenger Car,Not Deployed,,Male,
0,1550,,,,4,1480,55,21,183,100,157,281,135,4.4117,2003,Passenger Car,Deployed,1,Male,Front
0,1880,2,-12,195,2,1810,35,27,,,160,304,125,4.864,2005,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,2650,,,,2,2270,55,39,157,61,172,330,,5.676,2008,Truck (<=10000 lbs.),Not Deployed,1,Female,
0,1650,,,,1,1490,25,29,180,68,157,281,,4.4117,2006,Passenger Car,Not Deployed,1,Female,
0,1610,,,,1,1830,45,23,173,73,155,275,355,4.2625,2002,Passenger Car,Not Deployed,,Male,Left
0,1900,3,-16,358,2,1540,25,50,173,104,162,290,125,4.698,2006,Passenger Car,Not Deployed,0,Male,Front
0,1950,,,,5,1300,,45,173,81,158,279,125,4.4082,2007,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1300,,,,5,1950,,25,163,52,150,251,165,3.765,2002,Passenger Car,Deployed,1,Female,Front
0,1210,20,7,391,3,1630,40,67,160,64,153,260,25,3.978,2003,Passenger Car,Not Deployed,1,Male,Left
0,1630,-8,-13,323,3,1210,40,47,168,91,148,320,165,4.736,2003,Truck (<=6000 lbs.),Deployed,,Male,Right
0,2100,-17,-3,464,2,1720,25,45,185,91,158,287,215,4.5346,2002,Truck (<=6000 lbs.),Not Deployed,1,Male,Right
0,1550,,,,2,,35,44,168,79,155,273,315,4.2315,2006,Passenger Car,Not Deployed,1,Male,Rear
0,1780,-19,-54,2070,1,1800,25,20,180,81,157,265,155,4.1605,2008,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1800,26,-44,3646,1,1780,25,71,188,141,149,258,105,3.8442,2002,Truck (<=6000 lbs.),Deployed,,Male,Left
0,1220,,,,2,1190,35,21,175,93,149,261,135,3.8889,2002,Passenger Car,Deployed,0,,Front
0,1140,,,,1,1570,25,22,180,59,145,245,165,3.5525,2008,Passenger Car,Not Deployed,1,Male,Front
0,1890,,,,2,1810,,42,178,86,170,315,155,5.355,2004,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1810,,,,2,1890,,49,170,91,170,315,65,5.355,2004,Truck (<=6000 lbs.),Not Deployed,0,Female,Left
0,1570,,,,2,1380,25,36,173,86,157,287,195,4.5059,2003,Passenger Car,Not Deployed,1,Male,Front
0,1400,,,,4,1470,40,59,183,68,151,264,315,3.9864,2007,Truck (<=6000 lbs.),Not Deployed,1,Female,Rear
0,1160,-18,-30,100,3,1620,25,35,183,79,147,262,165,3.8514,2003,Passenger Car,Deployed,0,Male,Front
0,1620,17,-20,1172,2,1160,25,65,168,73,157,281,95,4.4117,2008,Passenger Car,Deployed,1,Female,Front
0,1880,-14,0,335,2,1500,25,41,163,51,161,303,225,4.8783,2003,Truck (<=6000 lbs.),Not Deployed,1,Female,Right
0,1500,3,-17,203,2,1880,25,53,173,91,157,276,125,4.3332,2005,Passenger Car,Deployed,1,Male,Front
0,2490,-4,-22,1183,4,2110,30,24,,,171,369,145,6.3099,2004,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,2110,26,-5,556,2,2490,25,37,155,64,168,302,55,5.0736,2008,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1440,10,-8,222,2,1240,25,47,152,40,151,270,85,4.077,2004,Passenger Car,Not Deployed,1,Female,Left
0,1600,-9,-24,157,2,1470,35,26,201,136,157,276,155,4.3332,2003,Passenger Car,Not Deployed,1,Male,Front
